,CH1,CH3
Second,Volt,Volt
1.40000e-02,2.18e+00,5.17e-01, 
1.42000e-02,2.23e+00,4.67e-01, 
1.44000e-02,2.23e+00,4.59e-01, 
1.46000e-02,2.20e+00,4.92e-01, 
1.48000e-02,2.20e+00,5.00e-01, 
1.50000e-02,2.23e+00,4.92e-01, 
1.52000e-02,2.20e+00,4.92e-01, 
1.54000e-02,2.23e+00,5.17e-01, 
1.56000e-02,2.20e+00,4.84e-01, 
1.58000e-02,2.23e+00,5.25e-01, 
1.60000e-02,2.20e+00,5.25e-01, 
1.62000e-02,2.23e+00,4.92e-01, 
1.64000e-02,2.23e+00,5.33e-01, 
1.66000e-02,2.18e+00,4.76e-01, 
1.68000e-02,2.20e+00,5.25e-01, 
1.70000e-02,2.23e+00,4.92e-01, 
1.72000e-02,2.20e+00,5.00e-01, 
1.74000e-02,2.23e+00,5.33e-01, 
1.76000e-02,2.18e+00,5.49e-01, 
1.78000e-02,2.23e+00,5.25e-01, 
1.80000e-02,2.20e+00,5.17e-01, 
1.82000e-02,2.23e+00,5.49e-01, 
1.84000e-02,2.23e+00,5.25e-01, 
1.86000e-02,2.18e+00,5.58e-01, 
1.88000e-02,2.20e+00,5.66e-01, 
1.90000e-02,2.23e+00,5.25e-01, 
1.92000e-02,2.23e+00,5.82e-01, 
1.94000e-02,2.20e+00,5.41e-01, 
1.96000e-02,2.23e+00,5.58e-01, 
1.98000e-02,2.20e+00,5.33e-01, 
2.00000e-02,2.23e+00,5.49e-01, 
2.02000e-02,2.20e+00,5.66e-01, 
2.04000e-02,2.23e+00,5.49e-01, 
2.06000e-02,2.20e+00,5.82e-01, 
2.08000e-02,2.20e+00,5.82e-01, 
2.10000e-02,2.23e+00,5.49e-01, 
2.12000e-02,2.20e+00,5.82e-01, 
2.14000e-02,2.23e+00,5.49e-01, 
2.16000e-02,2.23e+00,5.99e-01, 
2.18000e-02,2.18e+00,5.58e-01, 
2.20000e-02,2.20e+00,5.58e-01, 
2.22000e-02,2.23e+00,5.99e-01, 
2.24000e-02,2.18e+00,5.90e-01, 
2.26000e-02,2.23e+00,5.58e-01, 
2.28000e-02,2.23e+00,5.82e-01, 
2.30000e-02,2.20e+00,5.49e-01, 
2.32000e-02,2.23e+00,5.49e-01, 
2.34000e-02,2.18e+00,6.07e-01, 
2.36000e-02,2.23e+00,5.66e-01, 
2.38000e-02,2.18e+00,5.99e-01, 
2.40000e-02,2.18e+00,5.66e-01, 
2.42000e-02,2.23e+00,5.90e-01, 
2.44000e-02,2.20e+00,5.82e-01, 
2.46000e-02,2.23e+00,5.41e-01, 
2.48000e-02,2.20e+00,5.74e-01, 
2.50000e-02,2.23e+00,5.33e-01, 
2.52000e-02,2.20e+00,5.58e-01, 
2.54000e-02,2.23e+00,5.99e-01, 
2.56000e-02,2.23e+00,5.90e-01, 
2.58000e-02,2.18e+00,5.49e-01, 
2.60000e-02,2.20e+00,5.58e-01, 
2.62000e-02,2.23e+00,5.82e-01, 
2.64000e-02,2.20e+00,5.99e-01, 
2.66000e-02,2.23e+00,5.74e-01, 
2.68000e-02,2.18e+00,5.66e-01, 
2.70000e-02,2.23e+00,5.90e-01, 
2.72000e-02,2.23e+00,6.07e-01, 
2.74000e-02,2.20e+00,5.66e-01, 
2.76000e-02,2.20e+00,5.58e-01, 
2.78000e-02,2.23e+00,5.99e-01, 
2.80000e-02,2.23e+00,5.58e-01, 
2.82000e-02,2.18e+00,5.90e-01, 
2.84000e-02,2.23e+00,6.07e-01, 
2.86000e-02,2.20e+00,5.90e-01, 
2.88000e-02,2.23e+00,6.23e-01, 
2.90000e-02,2.20e+00,5.99e-01, 
2.92000e-02,2.20e+00,6.31e-01, 
2.94000e-02,2.23e+00,5.82e-01, 
2.96000e-02,2.23e+00,6.31e-01, 
2.98000e-02,2.20e+00,5.99e-01, 
3.00000e-02,2.18e+00,5.99e-01, 
3.02000e-02,2.23e+00,6.40e-01, 
3.04000e-02,2.23e+00,5.90e-01, 
3.06000e-02,2.18e+00,6.23e-01, 
3.08000e-02,-1.96e+00,5.90e-01, 
3.10000e-02,-1.93e+00,6.40e-01, 
3.12000e-02,-1.93e+00,5.99e-01, 
3.14000e-02,-1.96e+00,6.40e-01, 
3.16000e-02,-1.93e+00,6.31e-01, 
3.18000e-02,-1.90e+00,6.48e-01, 
3.20000e-02,-1.93e+00,6.15e-01, 
3.22000e-02,-1.88e+00,6.81e-01, 
3.24000e-02,-1.96e+00,6.48e-01, 
3.26000e-02,-1.90e+00,6.81e-01, 
3.28000e-02,-1.93e+00,6.81e-01, 
3.30000e-02,-1.88e+00,6.40e-01, 
3.32000e-02,-1.93e+00,6.72e-01, 
3.34000e-02,-1.88e+00,6.40e-01, 
3.36000e-02,-1.88e+00,6.72e-01, 
3.38000e-02,-1.93e+00,6.48e-01, 
3.40000e-02,-1.88e+00,6.72e-01, 
3.42000e-02,-1.90e+00,5.82e-01, 
3.44000e-02,-1.90e+00,5.49e-01, 
3.46000e-02,-1.85e+00,5.82e-01, 
3.48000e-02,-1.88e+00,5.82e-01, 
3.50000e-02,-1.93e+00,5.00e-01, 
3.52000e-02,-1.85e+00,4.35e-01, 
3.54000e-02,-1.90e+00,3.03e-01, 
3.56000e-02,-1.90e+00,2.87e-01, 
3.58000e-02,-1.85e+00,2.62e-01, 
3.60000e-02,-1.90e+00,2.71e-01, 
3.62000e-02,-1.85e+00,1.80e-01, 
3.64000e-02,-1.90e+00,1.72e-01, 
3.66000e-02,-1.85e+00,2.05e-01, 
3.68000e-02,-1.85e+00,2.13e-01, 
3.70000e-02,-1.90e+00,1.64e-01, 
3.72000e-02,-1.90e+00,1.56e-01, 
3.74000e-02,-1.85e+00,1.97e-01, 
3.76000e-02,-1.88e+00,1.89e-01, 
3.78000e-02,-1.85e+00,1.48e-01, 
3.80000e-02,-1.85e+00,1.80e-01, 
3.82000e-02,-1.90e+00,1.64e-02, 
3.84000e-02,-1.88e+00,2.46e-02, 
3.86000e-02,-1.85e+00,-2.46e-02, 
3.88000e-02,-1.85e+00,-1.64e-02, 
3.90000e-02,-1.90e+00,-6.56e-02, 
3.92000e-02,-1.85e+00,-6.56e-02, 
3.94000e-02,-1.93e+00,-9.84e-02, 
3.96000e-02,-1.93e+00,-1.15e-01, 
3.98000e-02,-1.85e+00,-8.20e-02, 
4.00000e-02,-1.88e+00,-9.84e-02, 
4.02000e-02,-1.90e+00,-1.97e-01, 
4.04000e-02,-1.88e+00,-1.80e-01, 
4.06000e-02,-1.90e+00,-2.21e-01, 
4.08000e-02,-1.90e+00,-2.05e-01, 
4.10000e-02,-1.85e+00,-2.38e-01, 
4.12000e-02,-1.93e+00,-2.46e-01, 
4.14000e-02,-1.88e+00,-2.87e-01, 
4.16000e-02,-1.88e+00,-2.38e-01, 
4.18000e-02,-1.90e+00,-2.87e-01, 
4.20000e-02,-1.90e+00,-2.95e-01, 
4.22000e-02,-1.88e+00,-2.71e-01, 
4.24000e-02,-1.93e+00,-2.71e-01, 
4.26000e-02,-1.88e+00,-3.20e-01, 
4.28000e-02,-1.90e+00,-2.79e-01, 
4.30000e-02,-1.85e+00,-3.28e-01, 
4.32000e-02,-1.88e+00,-3.44e-01, 
4.34000e-02,-1.90e+00,-3.03e-01, 
4.36000e-02,-1.88e+00,-3.28e-01, 
4.38000e-02,-1.90e+00,-3.03e-01, 
4.40000e-02,-1.88e+00,-3.28e-01, 
4.42000e-02,-1.90e+00,-3.53e-01, 
4.44000e-02,-1.93e+00,-3.36e-01, 
4.46000e-02,-1.88e+00,-3.61e-01, 
4.48000e-02,-1.85e+00,-3.44e-01, 
4.50000e-02,-1.90e+00,-3.85e-01, 
4.52000e-02,-1.90e+00,-3.61e-01, 
4.54000e-02,-1.85e+00,-3.94e-01, 
4.56000e-02,-1.85e+00,-3.61e-01, 
4.58000e-02,-1.90e+00,-3.85e-01, 
4.60000e-02,-1.93e+00,-3.77e-01, 
4.62000e-02,-1.88e+00,-4.02e-01, 
4.64000e-02,-1.88e+00,-3.77e-01, 
4.66000e-02,-1.90e+00,-4.02e-01, 
4.68000e-02,-1.88e+00,-3.77e-01, 
4.70000e-02,-1.93e+00,-4.18e-01, 
4.72000e-02,-1.88e+00,-3.85e-01, 
4.74000e-02,-1.88e+00,-4.26e-01, 
4.76000e-02,-1.85e+00,-3.85e-01, 
4.78000e-02,-1.90e+00,-4.18e-01, 
4.80000e-02,-1.90e+00,-4.02e-01, 
4.82000e-02,-1.85e+00,-4.35e-01, 
4.84000e-02,-1.90e+00,-4.02e-01, 
4.86000e-02,-1.85e+00,-4.26e-01, 
4.88000e-02,-1.88e+00,-4.18e-01, 
4.90000e-02,-1.90e+00,-4.43e-01, 
