,CH1,CH2,
Second,Volt,Volt,
-5.79712000E-01,-1.98E+00,-3.54E+00, 
-5.79639000E-01,-2.00E+00,-3.58E+00, 
-5.79565000E-01,-2.00E+00,-3.54E+00, 
-5.79492000E-01,-1.98E+00,-3.54E+00, 
-5.79419000E-01,-2.00E+00,-3.58E+00, 
-5.79346000E-01,-2.00E+00,-3.63E+00, 
-5.79273000E-01,-1.98E+00,-3.63E+00, 
-5.79199000E-01,-1.98E+00,-3.67E+00, 
-5.79126000E-01,-1.95E+00,-3.67E+00, 
-5.79053000E-01,-2.00E+00,-3.67E+00, 
-5.78979000E-01,-1.98E+00,-3.67E+00, 
-5.78906000E-01,-2.03E+00,-3.67E+00, 
-5.78833000E-01,-2.00E+00,-3.72E+00, 
-5.78760000E-01,-1.98E+00,-3.72E+00, 
-5.78687000E-01,-1.98E+00,-3.72E+00, 
-5.78613000E-01,-2.00E+00,-3.72E+00, 
-5.78540000E-01,-2.00E+00,-3.72E+00, 
-5.78467000E-01,-1.98E+00,-3.72E+00, 
-5.78394000E-01,-1.98E+00,-3.72E+00, 
-5.78320000E-01,-2.00E+00,-3.72E+00, 
-5.78247000E-01,-1.98E+00,-3.72E+00, 
-5.78174000E-01,-2.00E+00,-3.72E+00, 
-5.78101000E-01,-1.98E+00,-3.72E+00, 
-5.78027000E-01,-1.98E+00,-3.72E+00, 
-5.77954000E-01,-2.00E+00,-3.72E+00, 
-5.77881000E-01,-2.00E+00,-3.72E+00, 
-5.77808000E-01,-2.00E+00,-3.72E+00, 
-5.77734000E-01,-2.00E+00,-3.72E+00, 
-5.77661000E-01,-1.95E+00,-3.72E+00, 
-5.77588000E-01,-1.98E+00,-3.76E+00, 
-5.77515000E-01,-1.98E+00,-3.72E+00, 
-5.77441000E-01,-2.00E+00,-3.72E+00, 
-5.77368000E-01,-1.98E+00,-3.72E+00, 
-5.77295000E-01,-2.00E+00,-3.72E+00, 
-5.77222000E-01,-2.00E+00,-3.72E+00, 
-5.77148000E-01,-2.00E+00,-3.72E+00, 
-5.77075000E-01,-2.00E+00,-3.72E+00, 
-5.77002000E-01,-2.03E+00,-3.72E+00, 
-5.76929000E-01,-1.98E+00,-3.72E+00, 
-5.76855000E-01,-2.00E+00,-3.72E+00, 
-5.76782000E-01,-2.03E+00,-3.72E+00, 
-5.76709000E-01,-2.00E+00,-3.72E+00, 
-5.76636000E-01,-2.00E+00,-3.72E+00, 
-5.76563000E-01,-2.03E+00,-3.72E+00, 
-5.76489000E-01,-2.00E+00,-3.72E+00, 
-5.76416000E-01,-2.00E+00,-3.72E+00, 
-5.76343000E-01,-2.00E+00,-3.67E+00, 
-5.76270000E-01,-1.95E+00,-3.63E+00, 
-5.76196000E-01,-2.00E+00,-3.63E+00, 
-5.76123000E-01,-2.00E+00,-3.63E+00, 
-5.76050000E-01,-1.98E+00,-3.58E+00, 
-5.75977000E-01,-2.00E+00,-3.58E+00, 
-5.75903000E-01,-2.00E+00,-3.63E+00, 
-5.75830000E-01,-2.00E+00,-3.63E+00, 
-5.75757000E-01,-1.98E+00,-3.63E+00, 
-5.75684000E-01,-1.98E+00,-3.58E+00, 
-5.75610000E-01,-2.00E+00,-3.63E+00, 
-5.75537000E-01,-2.00E+00,-3.58E+00, 
-5.75464000E-01,-2.00E+00,-3.58E+00, 
-5.75391000E-01,-2.00E+00,-3.58E+00, 
-5.75317000E-01,-1.98E+00,-3.58E+00, 
-5.75244000E-01,-2.00E+00,-3.58E+00, 
-5.75171000E-01,-1.95E+00,-3.54E+00, 
-5.75098000E-01,-1.98E+00,-3.54E+00, 
-5.75024000E-01,-1.98E+00,-3.49E+00, 
-5.74951000E-01,-2.00E+00,-3.54E+00, 
-5.74878000E-01,-2.00E+00,-3.54E+00, 
-5.74805000E-01,-2.00E+00,-3.54E+00, 
-5.74731000E-01,-2.03E+00,-3.54E+00, 
-5.74658000E-01,-2.00E+00,-3.54E+00, 
-5.74585000E-01,-2.00E+00,-3.54E+00, 
-5.74512000E-01,-1.95E+00,-3.54E+00, 
-5.74439000E-01,-2.00E+00,-3.54E+00, 
-5.74365000E-01,-1.98E+00,-3.54E+00, 
-5.74292000E-01,-1.98E+00,-3.58E+00, 
-5.74219000E-01,-2.00E+00,-3.54E+00, 
-5.74146000E-01,-2.00E+00,-3.54E+00, 
-5.74072000E-01,-1.98E+00,-3.58E+00, 
-5.73999000E-01,-2.00E+00,-3.54E+00, 
-5.73926000E-01,-1.98E+00,-3.54E+00, 
-5.73853000E-01,-2.00E+00,-3.54E+00, 
-5.73779000E-01,-1.98E+00,-3.54E+00, 
-5.73706000E-01,-1.98E+00,-3.54E+00, 
-5.73633000E-01,-1.98E+00,-3.54E+00, 
-5.73560000E-01,-2.00E+00,-3.58E+00, 
-5.73486000E-01,-1.98E+00,-3.58E+00, 
-5.73413000E-01,-1.98E+00,-3.63E+00, 
-5.73340000E-01,-2.00E+00,-3.67E+00, 
-5.73267000E-01,-2.03E+00,-3.72E+00, 
-5.73193000E-01,-2.00E+00,-3.72E+00, 
-5.73120000E-01,-2.00E+00,-3.72E+00, 
-5.73047000E-01,-1.98E+00,-3.72E+00, 
-5.72974000E-01,-1.98E+00,-3.72E+00, 
-5.72900000E-01,-2.00E+00,-3.72E+00, 
-5.72827000E-01,-1.98E+00,-3.72E+00, 
-5.72754000E-01,-2.00E+00,-3.72E+00, 
-5.72681000E-01,-1.95E+00,-3.72E+00, 
-5.72607000E-01,-1.98E+00,-3.72E+00, 
-5.72534000E-01,-2.00E+00,-3.72E+00, 
-5.72461000E-01,-1.98E+00,-3.72E+00, 
-5.72388000E-01,-2.00E+00,-3.72E+00, 
-5.72315000E-01,-2.00E+00,-3.72E+00, 
-5.72241000E-01,-1.98E+00,-3.72E+00, 
-5.72168000E-01,-1.98E+00,-3.72E+00, 
-5.72095000E-01,-2.00E+00,-3.72E+00, 
-5.72021000E-01,-2.00E+00,-3.72E+00, 
-5.71948000E-01,-2.00E+00,-3.72E+00, 
-5.71875000E-01,-1.98E+00,-3.72E+00, 
-5.71802000E-01,-1.98E+00,-3.72E+00, 
-5.71729000E-01,-1.98E+00,-3.72E+00, 
-5.71655000E-01,-1.98E+00,-3.72E+00, 
-5.71582000E-01,-1.98E+00,-3.72E+00, 
-5.71509000E-01,-2.00E+00,-3.72E+00, 
-5.71436000E-01,-1.98E+00,-3.63E+00, 
-5.71362000E-01,-1.98E+00,-3.58E+00, 
-5.71289000E-01,-2.00E+00,-3.58E+00, 
-5.71216000E-01,-2.00E+00,-3.58E+00, 
-5.71143000E-01,-1.98E+00,-3.54E+00, 
