,CH1,CH2,CH4
Second,Volt,Volt,Volt
-1.50000e-01,-5.68e+00,-2.40e+00,-4.00e-02, 
-1.49000e-01,-5.60e+00,-2.88e+00,-8.00e-02, 
-1.48000e-01,-5.68e+00,-2.88e+00,-4.00e-02, 
-1.47000e-01,-5.60e+00,-3.04e+00,-8.00e-02, 
-1.46000e-01,-5.68e+00,-2.96e+00,-8.00e-02, 
-1.45000e-01,-5.60e+00,-2.80e+00,-4.00e-02, 
-1.44000e-01,-5.68e+00,-2.80e+00,-4.00e-02, 
-1.43000e-01,-5.60e+00,-2.64e+00,-8.00e-02, 
-1.42000e-01,-5.68e+00,-2.64e+00,-4.00e-02, 
-1.41000e-01,-5.60e+00,-2.88e+00,-8.00e-02, 
-1.40000e-01,-5.68e+00,-2.80e+00,-4.00e-02, 
-1.39000e-01,-5.60e+00,-2.96e+00,-8.00e-02, 
-1.38000e-01,-5.68e+00,-2.96e+00,-4.00e-02, 
-1.37000e-01,-5.60e+00,-2.88e+00,-8.00e-02, 
-1.36000e-01,-5.68e+00,-2.88e+00,-8.00e-02, 
-1.35000e-01,-5.60e+00,-2.96e+00,-4.00e-02, 
-1.34000e-01,-5.68e+00,-2.88e+00,-4.00e-02, 
-1.33000e-01,-5.60e+00,-2.96e+00,-8.00e-02, 
-1.32000e-01,-5.68e+00,-2.96e+00,-8.00e-02, 
-1.31000e-01,-5.60e+00,-2.88e+00,-4.00e-02, 
-1.30000e-01,-5.60e+00,-2.88e+00,-4.00e-02, 
-1.29000e-01,-5.76e+00,-2.88e+00,-8.00e-02, 
-1.28000e-01,-5.68e+00,-2.96e+00,-4.00e-02, 
-1.27000e-01,-5.60e+00,-3.20e+00,-8.00e-02, 
-1.26000e-01,-5.60e+00,-3.20e+00,-4.00e-02, 
-1.25000e-01,-5.68e+00,-3.04e+00,-8.00e-02, 
-1.24000e-01,-5.68e+00,-3.04e+00,-8.00e-02, 
-1.23000e-01,-5.60e+00,-2.88e+00,-4.00e-02, 
-1.22000e-01,-5.60e+00,-2.88e+00,-4.00e-02, 
-1.21000e-01,-5.68e+00,-3.20e+00,-8.00e-02, 
-1.20000e-01,-5.60e+00,-3.04e+00,-8.00e-02, 
-1.19000e-01,-5.68e+00,-3.20e+00,-4.00e-02, 
-1.18000e-01,-5.68e+00,-3.04e+00,-4.00e-02, 
-1.17000e-01,-5.60e+00,-3.12e+00,-8.00e-02, 
-1.16000e-01,-5.68e+00,-3.12e+00,-8.00e-02, 
-1.15000e-01,-5.60e+00,-2.96e+00,-4.00e-02, 
-1.14000e-01,-5.60e+00,-3.12e+00,-8.00e-02, 
-1.13000e-01,-5.68e+00,-3.36e+00,-4.00e-02, 
-1.12000e-01,-5.68e+00,-3.44e+00,-4.00e-02, 
-1.11000e-01,-5.60e+00,-2.80e+00,-8.00e-02, 
